"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zuiko I.; Gazizov M.; Kaibyshev R.","Zuiko, I. (56181430300); Gazizov, M. (36989331500); Kaibyshev, R. (7004407894)","56181430300; 36989331500; 7004407894","Superplasticity of an AA2519 aluminum alloy","2016","Materials Science Forum","838-839","","","278","284","3","10.4028/www.scientific.net/MSF.838-839.278","https://www.scopus.com/pages/publications/84958074431?origin=resultslist","A commercial AA2519 alloy with a chemical composition of Al-5.64Cu-0.33Mn- 0.23Mg-0.15Zr (in wt. %) was subjected to two-step thermomechanical processing (TMP) providing the formation of fully recrystallized structure with an average grain size of ~7 μm in 3 mm thin sheets. Superplastic tensile tests were performed in the temperature interval 450-535°C and initial strain rates ranging from ~2.8 × 10-4 to ~6.0 × 10-1 s-1. The highest elongation-to-failure of ~750% appears at a temperature of ~525°C and an initial strain rate of ~1.4×10-4 s-1 with the corresponding strain rate sensitivity coefficient of ~0.46. © 2016 Trans Tech Publications, Switzerland.","Aluminum alloys; Microstructure; Superplasticity; Thermomechanical processing; Ultrafine grained structure","Binary alloys; Copper alloys; Magnesium alloys; Manganese alloys; Microstructure; Plastic flow; Strain rate; Superplasticity; Tensile testing; Zircaloy; Average grain size; Chemical compositions; Elongation to failure; Initial strains; Strain rate sensitivity coefficient; Temperature intervals; Thermo-mechanical processing; Ultrafine grained structure; Aluminum alloys","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84958074431"
"Orozco-Caballero A.; Álvarez-Leal M.; Hidalgo-Manrique P.; Cepeda-Jiménez C.M.; Ruano O.A.; Carreño F.","Orozco-Caballero, Alberto (55745401200); Álvarez-Leal, Marta (56020963000); Hidalgo-Manrique, Paloma (57195325304); Cepeda-Jiménez, Carmen María (57200083467); Ruano, Oscar Antonio (7004674881); Carreño, Fernando (7004185843)","55745401200; 56020963000; 57195325304; 57200083467; 7004674881; 7004185843","Grain size versus microstructural stability in the high strain rate superplastic response of a severely friction stir processed Al-Zn-Mg-Cu alloy","2017","Materials Science and Engineering: A","680","","","329","337","45","10.1016/j.msea.2016.10.113","https://www.scopus.com/pages/publications/84998631627?origin=resultslist","An Al-Zn-Mg-Cu, Al 7075, alloy in an overaged state was subjected to friction stir processing (FSP) using a wide range of processing conditions. The goal was to diminish the heat index, increasing therefore the processing severity. Additionally, two backing anvils were selected that strongly influence the heat extraction rate. Grain sizes obtained by transmission electron microscopy were situated in the range 210–820 nm. High temperature tensile tests and the scanning electron micrographs of the topography of the tensile samples after testing revealed that grain boundary sliding (GBS) operated at an initial strain rate of ε̇=10−2 s−1 in a wide range of temperatures for the processed alloy. That temperature window was wider and situated at lower temperatures for the finer grain sizes. The high processing severity imposed to create such fine microstructures introduces high values of stored energy in the material, which is the driving force for the increasing grain coarsening at high temperatures. This fact limited the operation of GBS at the highest tested temperatures in some conditions. An optimum balance between grain refinement and microstructural stability was obtained using a low heat index, corresponding to the processing conditions of ω=1000 rpm, V =500 mm/min, and the use of refrigerated backing anvil. © 2016 Elsevier B.V.","Aluminum alloys; Friction stir processing; Grain refinement; Low temperature high strain rate superplasticity; Microstructural stability","Copper alloys; Friction; Friction stir welding; Grain boundary sliding; Grain refinement; Grain size and shape; High resolution transmission electron microscopy; Magnesium alloys; Scanning electron microscopy; Strain rate; Temperature; Tensile testing; Tribology; Zinc alloys; Friction stir processing; Grain boundaries sliding; Grains refinement; Grainsize; Heat indices; High-strain-rate superplasticity; Low temperature high strain rate superplasticity; Lows-temperatures; Microstructural stability; Processing condition; Aluminum alloys","Article","Final","","Scopus","2-s2.0-84998631627"
"Cepeda-Jiménez C.M.; García-Infanta J.M.; Ruano O.A.; Carreño F.","Cepeda-Jiménez, C.M. (57200083467); García-Infanta, J.M. (17343293400); Ruano, O.A. (7004674881); Carreño, F. (7004185843)","57200083467; 17343293400; 7004674881; 7004185843","High strain rate superplasticity at intermediate temperatures of the Al 7075 alloy severely processed by equal channel angular pressing","2011","Journal of Alloys and Compounds","509","40","","9589","9597","58","10.1016/j.jallcom.2011.07.076","https://www.scopus.com/pages/publications/80052319404?origin=resultslist","The mechanical properties of an overaged Al 7075-O alloy processed by ECAP were examined by tensile tests at intermediate-high temperatures ranging from 250 to 400 °C and strain rates from 10-5 to 10-1 s-1. The influence of the number of ECAP passes on the ductility enhancement was evaluated. Elongation to failure, eF, significantly increased with increasing the number of ECAP passes up to 8 at 130 °C. The alloy processed under these conditions exhibited a maximum value of 322% at 300 °C and an initial strain rate of 10-3 s-1. High strain rate, eF = 210%, at a strain rate as high as 10-2 s -1. The large elongations together with lower stresses and lower stress exponents than those for the start material confirm that grain boundary sliding (GBS) is the operative deformation mechanism. A loss of superplastic behaviour at temperatures above 350 °C is related to abnormal grain growth and a change of deformation mechanism. © 2011 Elsevier B.V. All rights reserved.","Al-Zn-Mg-Cu alloy; Deformation mechanisms; ECAP; Microstructure; Superplasticity","Alloys; Aluminum; Copper alloys; Deformation; Equal channel angular pressing; Grain boundary sliding; Grain growth; Grain size and shape; Mechanical properties; Pressing (forming); Superplasticity; Tensile testing; Abnormal grain growth; Al 7075 alloy; Al-Zn-Mg-Cu alloy; Deformation mechanism; Deformation mechanisms; Ductility enhancement; ECAP; Elongation to failure; Grain-boundary slidings; High strain rates; High-strain-rate superplasticity; Initial strains; Intermediate temperatures; Large elongation; Lower stress; Maximum values; Tensile tests; Strain rate","Article","Final","","Scopus","2-s2.0-80052319404"
"Benabou L.","Benabou, L. (55914728100)","55914728100","Coupled stress-diffusion modelling of grain boundary segregation and dynamic embrittlement in a copper alloy","2019","Modelling and Simulation in Materials Science and Engineering","27","4","045007","","","11","10.1088/1361-651X/ab1624","https://www.scopus.com/pages/publications/85067211968?origin=resultslist","Intergranular fracture due to dynamic embrittlement by impurity segregation at grain boundaries is modelled and simulated in this work. The model is based upon: (i) a bulk diffusion equation including the effect of the hydrostatic pressure, (ii) a grain boundary diffusion equation including the effect of the normal cohesive traction, (iii) a constitutive law for microplasticity accounting for the viscoplastic slips inside the crystals, and (iv) a traction-separation law incorporating the degrading effect of impurity coverage on the cohesive strength. The numerical implementation of the coupled transient diffusion-mechanics model is done in the commercial finite element code Abaqus and tested with the sulfur/copper system. The model predictions for impurity diffusion from a surface constant source inside an isolated grain boundary exhibit reasonable agreement with known analytical solutions. An edge-notched specimen with contaminated crack flanks is then analysed under static loading, showing the stress-assisted penetration of the contaminant in the grain boundary and its effect on crack propagation. Finally, intergranular fracture occurrence in polycrystalline aggregates under tensile loading is simulated. The strong impurity segregation at the grain boundaries is demonstrated, and the phenomenon of ductile-to-brittle transition of the rupture mode, influenced by the temperature and strain rate parameters, is well reproduced by simulation. © 2019 IOP Publishing Ltd.","crystal plasticity; dynamic embrittlement; impurity diffusion; intergranular cracking","ABAQUS; Copper alloys; Cracks; Crystal impurities; Diffusion in solids; Grain boundaries; Hydrostatic pressure; Partial differential equations; Strain rate; Stress analysis; Textures; Commercial finite element codes; Crystal plasticity; Ductile to brittle transitions; Dynamic embrittlement; Grain boundary segregation; Impurity diffusion; Intergranular cracking; Polycrystalline aggregates; Segregation (metallography)","Article","Final","","Scopus","2-s2.0-85067211968"
"Musin F.F.; Bolshakov B.O.; Domracheva E.","Musin, F.F. (56121984900); Bolshakov, B.O. (56440303200); Domracheva, E. (57191254018)","56121984900; 56440303200; 57191254018","Superplastic behavior of an Al-Cu-Mg-Mn-Ag alloy","2016","Materials Science Forum","870","","","185","190","0","10.4028/www.scientific.net/MSF.870.185","https://www.scopus.com/pages/publications/84988358723?origin=resultslist","The superplastic properties and microstructural evolution of a commercial Al-4.4%Cu- 0.5%Mg-0.4%Mn-0.5%Ag-0.1%Ti alloy were examined under tension at temperatures ranging from 450 to 520°C and strain rates ranging from 6.9x10-5to 6.9x10-2s-1. The refined microstructure with an average grain size of about 11μm was produced in thin sheets by a commercially viable thermomechanical process. The highest elongation to failure of 540% was attained at a temperature of 500°C and an initial strain rate of 6.9x10-4s-1with the corresponding strain rate sensitivity coefficient of 0.55. The microstructural evolution during superplastic deformation of the aluminum alloy has been studied quantitatively. Processing at temperatures above 475°C and strain rate below 1.4x10-3s-1resulted in fracturing almost without necking with cavitation playing a major role in the failure. In contrast, at low temperatures and/or high strain rates, fracture occurred in a ductile manner by localized necking. The relationship between superplastic ductility and microstructural evolution is analyzed. © 2016 Trans Tech Publications, Switzerland.","Aluminum alloys; Mechanical properties; Microstructure; Superplastic deformation","Aluminum alloys; Copper alloys; Ductile fracture; Magnesium alloys; Manganese alloys; Mechanical properties; Microstructural evolution; Microstructure; Silver alloys; Superplastic deformation; Titanium alloys; Average grain size; Elongation to failure; High strain rates; Refined microstructure; Strain rate sensitivity coefficient; Superplastic behavior; Superplastic properties; Thermomechanical process; Strain rate","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84988358723"
"Walters W.P.; Summers R.L.","Walters, William P. (7102149831); Summers, Richard L. (36861551400)","7102149831; 36861551400","An Analytical Model for the Particulation of a Jet from a shaped charge liner","1995","Propellants, Explosives, Pyrotechnics","20","2","","58","63","7","10.1002/prep.19950200203","https://www.scopus.com/pages/publications/4243049635?origin=resultslist","A new model is presented to predict the cumulative breakup time of the jet from a shaped charge liner. The model invokes a plastic instability criterion, kinematic considerations, and a material constitutive equation. Very good agreement of the cumulative breakup time and jet length with experimental data for several copper liner geometries is shown. The results are dependent on the initial strain rate and jet temperature distribution. Copyright © 1995 Verlag GmbH & Co. KGaA, Weinheim","","","Article","Final","","Scopus","2-s2.0-4243049635"
"Lee D.-S.; Jung T.-K.; Shim G.-S.; Kim M.-S.; Kim W.-Y.; Yamagata H.","Lee, Dong-Suk (56133599700); Jung, Taek-Kyun (23111003200); Shim, Gyu-Sam (7004739532); Kim, Mok-Soon (35280345100); Kim, Won-Yong (57208591681); Yamagata, Hiroshi (35895306600)","56133599700; 23111003200; 7004739532; 35280345100; 57208591681; 35895306600","High temperature deformation behavior of pre-sintered Al-10Si-5Fe based alloy","2006","Materials Science Forum","510-511","","","342","345","1","10.4028/0-87849-995-4.342","https://www.scopus.com/pages/publications/35748939097?origin=resultslist","The mechanical properties of pre-sintered Al-10Si-5Fe-1Cu-0.5Mg-1Zr (wt%) alloy were investigated in the temperature range from 673K to 813K and at initial strain rates from 10-4 to 100 s-1. In the high temperature range of 793K and 813K, the strain rate sensitivity index was close to that for superplasticity (0.3). Stress exponent was estimated to be 2 and 5 in the temperature range from 793K to 813K and from 673K to 773K, respectively. The activation energies for the plastic flow were calculated to 77kJ/mol for the n=2 region and 127kJ/mol for the n=5 region. These values were close to that for grain boundary diffusion and self-diffusion in pure aluminum, respectively. We found that a dynamic recrystallization (DRX) and grain boundary sliding (GBS) occur depending on the test temperature and stain rate. A filament-like phase containing Cu and Mg was observed in the cracked surface of the specimen deformed at 793K and 813K.","Al-Si-Fe based alloy; Compressive deformation; Dynamic recrystallization; Grain boundary sliding; Powder metallurgy","Deformation; Dynamic recrystallization; Grain boundary sliding; High temperature effects; Mechanical properties; Powder metallurgy; Sintering; Superplasticity; Al-Si-Fe based alloy; Compressive deformation; High temperature deformation; Stress exponent; Aluminum alloys","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-35748939097"
"Stepanov G.V.","Stepanov, G.V. (7102568629)","7102568629","Analysis of the stress-strain curves for metals in tension considering the influence of the loading rate and temperature","1995","Problemy Prochnosti","","7","","68","75","0","","https://www.scopus.com/pages/publications/0029333040?origin=resultslist","Analysis of influence of the loading temperature-rate conditions for specimens from aluminium, copper and high-strength steel shows that nonuniform stress-strain state occurring in the area of the specimen neck changes the initial strain rate and temperature at final stages of deformation prior to fracture. The use of the resistance characteristics under extensive plastic deformation and limiting plasticity determined by processing the results of such tests without appropriate correction, is not justified for engineering calculations.","","Aluminum; Copper; Fracture mechanics; Loads (forces); Plastic deformation; Strain; Stress analysis; Temperature control; Tensile testing; Dynamic loading; Strength of materials","Article","Final","","Scopus","2-s2.0-0029333040"
"Scapin M.; Peroni L.; Peroni M.","Scapin, M. (48561821700); Peroni, L. (6701491344); Peroni, M. (57221488215)","48561821700; 6701491344; 57221488215","Parameters identification in strain-rate and thermal sensitive visco-plastic material model for an alumina dispersion strengthened copper","2012","International Journal of Impact Engineering","40-41","","","58","67","20","10.1016/j.ijimpeng.2011.10.002","https://www.scopus.com/pages/publications/81155144506?origin=resultslist","The main objective of this paper is getting strain-hardening, thermal and strain-rate parameters for a material model in order to correctly reproduce the deformation process that occurs in high strain-rate scenario, in which the material reaches also high levels of plastic deformation and temperature. In particular, in this work the numerical inverse method is applied to extract material strength parameters from experimental data obtained via mechanical tests at different strain-rates (from quasi-static loading to high strain-rate) and temperatures (between 20cC and 1000°C) for an alumina dispersion strengthened copper material, which commercial name is GLIDCOP®. Thanks to its properties GLIDCOP® finds several applications in particle accelerator technologies, where problems of thermal management, combined with structural requirements, play a key role. Currently, it is used for the construction of structural and functional parts of the particle beam collimation system. Since the extreme condition in which the material could operate, it is fundamental to characterize it in a wide range both in strain-rate and temperature. The numerical inverse method used in this work is particularly useful to reproduce experimental results when the stress-strain fields in the specimen cannot be correctly described via analytical models. Furthermore this procedure is useful to take into account thermal phenomena generally affecting high strain-rate tests in which the heat conversion of plastic work produces an adiabatic overheating. So, the applicability of this method is particularly indicated in special fields, such as aerospace engineering, ballistic, crashworthiness studies or particle accelerator technologies. The attention is focused on evaluating the most suitable strategy of material model parameters optimization to obtain the best fit between experimental data and numerical results. In this regards, it is important to determine which material model coefficients can be considered as optimization variables and for each of them the most suitable range of variation. © 2011 Elsevier Ltd. All rights reserved.","Inverse method; Johnson-cook model; Optimization; Strain-rate; Temperature","Alumina; Aluminum oxide; Copper; Crashworthiness; Dispersions; Inverse problems; Numerical methods; Optimization; Particle accelerators; Strain hardening; Temperature; Accelerator technology; Alumina dispersion strengthened copper; Inverse methods; Johnson-Cook model; Optimization variables; Parameters identification; Quasi-static loading; Structural requirements; Strain rate","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-81155144506"
"Alhamidi A.; Horita Z.","Alhamidi, Ali (55762722500); Horita, Zenji (7006530810)","55762722500; 7006530810","Application of high-pressure torsion to Al-6 %Cu-0.4 %Zr alloy for ultrafine-grain refinement and superplasticity","2014","Journal of Materials Science","49","19","","6689","6695","7","10.1007/s10853-014-8362-5","https://www.scopus.com/pages/publications/84904719856?origin=resultslist","An Al-6 %Cu-0.4 %Zr alloy was processed by high-pressure torsion to produce an ultrafine-grained structure with a grain size of ~200 nm at the steady-state level where the hardness remains constant with straining. Tensile testing showed that a maximum elongation of ~530 % was attained at 673 K with an initial strain rate of 1 × 10-3 s-1. Evaluation of the strain-rate sensitivity and the activation energy for the deformation confirmed that grain boundary sliding through grain boundary diffusion is the rate-controlling process for the superplastic deformation. © 2014 Springer Science+Business Media New York.","","Activation energy; Grain boundaries; Grain refinement; Grain size and shape; Strain rate; Tensile testing; Torsional stress; Zirconium; Zirconium alloys; Grain-boundary diffusion; High pressure torsions; Initial strains; Rate-controlling process; Steady-state level; Strain rate sensitivity; Ultra fine grain; Ultrafine grained structure; Aluminum","Conference paper","Final","","Scopus","2-s2.0-84904719856"
