"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ledbetter H.M.","Ledbetter, H.M. (7005466056)","7005466056","Elastic constants of polycrystalline copper at low temperatures: Relationship to single-crystal elastic constants","2022","Physica status solidi (a)","","","","477","484","0","","https://www.scopus.com/pages/publications/85192936998?origin=resultslist","Elastic constants of polycrystalline copper are determined between 4 and 295 K by measuring ultrasonic velocities, longitudinal and transverse. Five elastic constants are given: longitudinal modulus, shear modulus, Young's modulus, bulk modulus (reciprocal compressibility), and Poisson's ratio. Considering eight theories of single-crystal :polycrystal elastic constants, the Hershey-Kröner-Eshelby theory agrees best with observation, within 1% for the shear modulus, G. (Voigt and Reuss first-order bounds on G differ by 29%.) A problem exists concerning the calculation of the Debye temperature of polycrystalline aggregates. © 1981 by Akademie-Verlag Berlin. All rights reserved.","","Copper; Elastic moduli; Shear strain; Single crystals; Eshelby theory; First order; Longitudinal modulus; Lows-temperatures; Polycrystalline aggregates; Polycrystalline copper; Single crystal elastic constants; Young modulus; Elastic constants","Book chapter","Final","","Scopus","2-s2.0-85192936998"
"Choudhury S.F.; Ladani L.","Choudhury, Soud Farhan (55885817800); Ladani, Leila (12787903000)","55885817800; 12787903000","Single Crystal Plasticity Finite Element Analysis of Cu6Sn5 Intermetallic","2015","Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science","46","3","","1108","1118","13","10.1007/s11661-014-2696-0","https://www.scopus.com/pages/publications/84925507158?origin=resultslist","Due to the miniaturization of the solder joints in micro/nanoelectronic devices, the volume ratio of intermetallic (IMCs) materials has substantially increased. This increased ratio could affect the reliability of solder joints depending on the regime and the rate of the loading. Cu6Sn5 is the primary IMC layer in the solder joint, and the primary crack initiation is observed in Cu6Sn5 site in the literature. As the size of the joints becomes closer to the grain size, joints may only contain a few numbers of grains of Cu6Sn5. This manifests itself in statistical grain size effects, as well as anisotropy. Modeling these joints using bulk properties of Cu6Sn5 does not capture the actual behavior of these joints especially when plastic deformation is involved. Plastic deformation, starting at yield point, happens to be associated with the activation of slip systems. Deformation of a slip system of single crystal largely rests on the slip parameters such as critical resolved shear stress (CRSS), initial hardening modulus, and saturation stress (Stage I stress when large plastic flow occurs). However, no efforts have been made to capture the slip parameters of Cu6Sn5 experimentally or analytically because of the difficulties of using conventional mechanical tests to measure the slip parameters of HCP single crystals. Due to wide range of CRSS values, it becomes difficult to isolate a specific slip system in testing without activating the other slip systems. The crystal plasticity finite-element (CPFE) method takes into account the effect of anisotropy and slip system behavior in modeling materials. This work uses a combined strategy based upon experiments, modeling, and a comparative analysis to obtain slip system parameters that could predict the slip process of Cu6Sn5. Nanoindentation tests were performed on Cu6Sn5 single crystal to extract the load–displacement curves, and a CPFE nanoindentation model analysis along with custom user material was utilized to obtain set of crystal plasticity material parameters which can represent the plastic behavior of Cu6Sn5 IMC. These parameters were then used to predict shear yield strength and shear modulus of Cu6Sn5, and the findings were compared with the previously published values in the literature. © 2014, The Minerals, Metals & Materials Society and ASM International.","","Anisotropy; Binary alloys; Chemical activation; Chromium alloys; Finite element method; Grain size and shape; Intermetallics; Lead-free solders; Nanoindentation; Plastic deformation; Plasticity; Shear flow; Shear stress; Single crystals; Tin alloys; Comparative analysis; Critical resolved shear stress; Crystal plasticity; Crystal plasticity finite element; Displacement curve; Nanoindentation tests; Shear yield strength; Single crystal plasticity; Copper alloys","Article","Final","","Scopus","2-s2.0-84925507158"
"Ledbetter H.","Ledbetter, Hassel (7005466056)","7005466056","MONOCRYSTAL-POLYCRYSTAL ELASTIC-CONSTANT MODELS","1990","ASTM Special Technical Publication","STP 1045","","","135","148","6","10.1520/STP24621S","https://www.scopus.com/pages/publications/85167809704?origin=resultslist","Considering only cubic syuunetry (three independent monocrystal elastic-stiffness coefficients, Cij, we review various models for converting the Cij to the effective macroscopic quasiisotropic and homogeneous elastic constants, usually taken as B, the bulk modulus, and G, the shear modulus. To test the models, we consider a typical metal: copper, which possesses a moderate Zener elastic-anisotropy ratio, 3.19, and which was measured by pulse-echo dynamic (MHz) methods. We find that the Hershey-Kroner-Eshelby, and equivalent, models work best. We ignore models that lack a physical bas is. Using the H-K-E model, we calculate the effective polycrystalline elastic constants of twenty-five cubic elements. © 1990 ASTM International. All rights reserved.","bulk modulus; elastic constants; monocrystal- polycrystal relationships; physical properties; Poisson ratio; shear modulus; Young modulus","Elastic constants; Polycrystals; Shear strain; Anisotropy ratio; Elastic anisotropy; Elastic stiffness coefficients; Eshelby model; Metal copper; Mono-crystals; Monocrystal- polycrystal relationship; Pulse echoes; Quasi-isotropic; Young modulus; Elastic moduli","Conference paper","Final","","Scopus","2-s2.0-85167809704"
"Zhao Z.; Li Z.; Lv L.","Zhao, Zhen (55726167100); Li, Zhi (58406130400); Lv, Linlin (56982452900)","55726167100; 58406130400; 56982452900","Quantum chemical calculations of thermodynamic and mechanical properties of the intermetallic phases in copper-scandium alloy","2017","Journal of Theoretical and Computational Chemistry","16","7","1750056","","","7","10.1142/S0219633617500560","https://www.scopus.com/pages/publications/85027188378?origin=resultslist","To understand how the intermetallic phases of Cu-Sc influence the thermal stability and mechanical strength of Cu-Sc alloys, thermodynamic and mechanical characters of the Cu-Sc alloy have been calculated by first-principles. The lattice parameters of Cu4Sc phase are obtained by calculated and the CuSc phase is found to be the most stable phase based on formation energies. In the binary Cu-Sc alloy, the shear moduli of Cu4Sc and Cu2Sc phases along the [100](001) crystal orientation are easier than those along the [100](010) crystal orientation, respectively. Pure Cu phase acts as the most stiffness phase while αSc phase has the lowest stiffness. Cu4Sc phase possesses the best plasticity while CuSc phase possesses the worst plasticity. Cu4Sc phase is the most ductile phase while αSc phase is the most brittle phase. From the partial density of states, the valence bands of binary Cu-Sc phases are dominated by the Sc-d states. © 2017 World Scientific Publishing Company.","Cu-Sc alloy; electronic properties; first-principles; mechanical properties; thermodynamic properties","","Article","Final","","Scopus","2-s2.0-85027188378"
"Huang C.-W.; Chang M.-P.; Fang T.-H.","Huang, Chia-Wei (57272944700); Chang, Man-Ping (57273193400); Fang, Te-Hua (7201676469)","57272944700; 57273193400; 7201676469","Effects of temperature and repeat layer spacing on mechanical properties of graphene/polycrystalline copper nanolaminated composites under shear loading","2021","Beilstein Journal of Nanotechnology","12","","","863","877","2","10.3762/bjnano.12.65","https://www.scopus.com/pages/publications/85115793366?origin=resultslist","In the present study, the characteristics of graphene/polycrystalline copper nanolaminated (GPCuNL) composites under shear loading are investigated by molecular dynamics simulations. The effects of different temperatures, graphene chirality, repeat layer spacing, and grain size on the mechanical properties, such as failure mechanism, dislocation, and shear modulus, are observed. The results indicate that as the temperature increases, the content of Shockley dislocations will increase and the maximum shear stress of the zigzag and armchair directions also decreases. The mechanical strength of the zigzag direction is more dependent on the temperature than that of the armchair direction. Moreover, self-healing occurs in the armchair direction, which causes the shear stress to increase after failure. Furthermore, the maximum shear stress and the shear strength of the composites decrease with an increase of the repeat layer spacing. Also, the shear modulus increases by increasing the grain size of copper. © 2021. Huang et al.; licensee Beilstein-Institut. License and terms: see end of document.","dislocation; graphene/Cu; molecular dynamics; self-healing; shear","Copper; Elastic moduli; Failure (mechanical); Grain size and shape; Molecular dynamics; Self-healing materials; Shear flow; Shear strain; Shear stress; Temperature; Dislocation; Effects of temperature; Grainsize; Graphene-Cu; Layer-spacing; Maximum shear stress; Polycrystalline copper; Self-healing; Shear; Shear loadings; Graphene","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115793366"
"Yuhua Jin; Luo P.; Wang H.; Hu B.; Lu X.; Ren J.","Yuhua Jin (59670470200); Luo, Peng (59670733500); Wang, Helai (59670470300); Hu, Bairui (59670997800); Lu, Xuefeng (55619293369); Ren, Junqiang (36769274700)","59670470200; 59670733500; 59670470300; 59670997800; 55619293369; 36769274700","First-Principles Investigation of the Properties of Copper–Aluminum Intermetallic Compounds","2024","Physics of Metals and Metallography","125","Suppl 1","","S121","S132","2","10.1134/S0031918X24601446","https://www.scopus.com/pages/publications/86000070533?origin=resultslist","Abstract: After copper and aluminum are connected friction stir welding(FSW), the primary intermetallic compounds formed in the joint are Al4Cu9, Al2Cu, and AlCu. To further analyze the influence of intermetallic compounds on the properties of Cu/Al joints, the mechanical, electronic, and thermodynamic properties of Al4Cu9, Al2Cu, and AlCu in Cu/Al joints were calculated using first-principles methods. Based on the calculated cohesive energy and formation enthalpy, the stability order of the compounds is Al4Cu9 > Al2Cu > AlCu. The energy band structure and density of states indicate that these compounds predominantly form covalent bonds while exhibiting conductive properties. The single-crystal elastic constants and polycrystalline elastic moduli, including bulk modulus, Young’s modulus, and shear modulus were calculated, and the melting points were predicted to understand their respective thermal expansion coefficients. © Pleiades Publishing, Ltd. 2024.","first-principles calculations; intermetallic compounds; property of intermetallic compound; thermodynamic properties","Aluminum compounds; Copper alloys; Copper compounds; Indium phosphide; Organometallics; Al-4%Cu; First principle calculations; First-principles investigations; Friction-stir-welding; Intermetallics compounds; Mechanical; Property; Property of intermetallic compound; Thermodynamics property; Shear strain","Article","Final","","Scopus","2-s2.0-86000070533"
"Manghnani M.H.; Brower W.S.; Parker H.S.","Manghnani, M.H. (7004591395); Brower, W.S. (7003922514); Parker, H.S. (7101697698)","7004591395; 7003922514; 7101697698","Anomalous elastic behavior in Cu2O under pressure","1974","physica status solidi (a)","25","1","","69","76","54","10.1002/pssa.2210250103","https://www.scopus.com/pages/publications/0016103452?origin=resultslist","The elastic constants Cij of single‐crystal Cu2O measured to 3 kbar show linear variation with pressure. The best‐fit values of the Cij and dCij/dP are: C11 = 1228.8, C44 = 121.0, C′ = (C11–C12)/2 = 81.9 kbar, dC11/dP = 3.62, dC44/dP = −0.69, and dC′/dP = −0.63, respectively. The elastic behavior of Cu2O is found to be anomalous in that dC44/dP and dC′/dP are both negative, and dμ/dP, where μ is the isotropic shear modulus, is significantly negative (−0.67). This anomalous behavior suggests an instability of crystal structure. The high‐ and low‐temperature limiting values of Grüneisen γ, γH and γL, computed from the dCij/dP are −1.98 and −3.59, respectively. The value of γH is in fairly good agreement with the reported Grüneisen γ value based on the nuclear quadrupole relaxation data. The negative Grüneisen γ values are consistent with the observed negative thermal expansion. The implication of γL being appreciable more negative than γH is that the coefficient of thermal expansion of Cu2O should become more negative at low temperatures. Copyright © 1974 WILEY‐VCH Verlag GmbH & Co. KGaA","","COPPER METALLOGRAPHY","Article","Final","","Scopus","2-s2.0-0016103452"
"Wu Y.D.; Cai Y.H.; Chen X.H.; Wang T.; Si J.J.; Wang L.; Wang Y.D.; Hui X.D.","Wu, Y.D. (57216625902); Cai, Y.H. (23476483100); Chen, X.H. (57204978343); Wang, T. (59873098500); Si, J.J. (55968308000); Wang, L. (59874550000); Wang, Y.D. (8352824900); Hui, X.D. (25925133500)","57216625902; 23476483100; 57204978343; 59873098500; 55968308000; 59874550000; 8352824900; 25925133500","Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys","2015","Materials and Design","83","","","651","660","286","10.1016/j.matdes.2015.06.072","https://www.scopus.com/pages/publications/84941265733?origin=resultslist","TiZrNbMoxVy high-entropy alloys (HEAs) with x=0-2, y=1 and y=0.3, respectively, were designed and prepared by copper mold casting technology. The phase composition and stability of these HEAs were investigated. It is shown that the HEAs with low content of V are composed of only one type of bcc solid solution phase (SSP), and demonstrate excellent phase stability at 1273K. The high content of V and Mo results in the formation of two types of bcc SSPs and the decrease of phase stability in the HEAs. Based on the previously proposed criteria, the formation ability of solid solution phase for this kind of HEAs was comprehensively evaluated. The compressive mechanical properties of the as-cast and annealed HEAs were measured. It has been found that Mo plays a strong solid solution strengthening effect on this kind of HEAs. Especially, TiZrNbMo0.3V0.3 has the yield strength and plastic strain of 1312MPa and >50%, respectively, and still maintains the excellent plastic deformation ability even after annealed at 1273K for 72h. The strengthening effect in this kind of HEAs is considered to be due to the shear modulus mismatch. The solubility limit of HEAs is correspondent to shear modulus mismatch of 29. © 2015 Elsevier Ltd.","Compressive properties; High-entropy alloys; Phase composition; Solid solution phase; TiZrNbMoV","Elastic moduli; Entropy; Phase composition; Phase stability; Plastic deformation; Shear flow; Shear strain; Compressive mechanical properties; Compressive properties; High entropy alloys; Plastic deformation abilities; Solid solution phase; Solid solution strengthening; Strengthening effect; TiZrNbMoV; Solid solutions","Article","Final","","Scopus","2-s2.0-84941265733"
"De Jonghe L.C.; Greenfield I.G.","De Jonghe, L.C (8573051400); Greenfield, I.G (6603924170)","8573051400; 6603924170","Surface hardening by diffusion in copper single crystals","1969","Acta Metallurgica","17","12","","1411","1420","13","10.1016/0001-6160(69)90003-0","https://www.scopus.com/pages/publications/0014627275?origin=resultslist","The effect of composition changes below the surface of copper single crystals on the critical-resolved-shear stress and on dislocation configuration near the surface was studied. Various gradients with a solute concentration decreasing from the surface were developed by diffusing platinum from an electroplated layer into copper crystals. Concomitant with the resulting concentration gradients are gradients of elastic constants and lattice parameters. For all surface treatments used in these experiments the critical-resolved-shear stress was increased; the highest value was found to be 360 g/mm2, which is about four times that measured for pure untreated crystals. The steeper the composition gradient near the surface the greater was the measured critical-resolved-shear stress. For most treatments the structural changes that accompanied the strengthening were identified as networks of accommodation dislocations in the subsurface region. The mesh size of these networks increased when the composition gradient was decreased. In evaluating the surface strengthening mechanism the effects of shear modulus, orientation of the crystal, and ordering were considered. From these experiments the prominent strengthening mechanism appears to be due to the impedance of glide dislocation movement by the acaommodation-dislocation network in the subsurface layer. © 1969.","","COPPER AND ALLOYS; COPPER METALLOGRAPHY, DIFFUSIO","Article","Final","","Scopus","2-s2.0-0014627275"
"Huang W.; Pan K.; Zhang J.; Gong Y.","Huang, Wei (56988048800); Pan, Kailin (7102713615); Zhang, Jian (55955846000); Gong, Yubing (56315485000)","56988048800; 7102713615; 55955846000; 56315485000","Effect of In-Doping on Mechanical Properties of Cu6Sn5-Based Intermetallic Compounds: A First-Principles Study","2021","Journal of Electronic Materials","50","7","","4164","4171","22","10.1007/s11664-021-08929-1","https://www.scopus.com/pages/publications/85105519658?origin=resultslist","Cu6(Sn, In)5 phase intermetallic compounds (IMCs) were generated by In doping in Sn-Ag-Cu(SAC) solders. First, the optimum site of the In atom replacing the Sn atom was determined. Subsequently, the elastic constants of the IMCs were calculated based on the determined structure. All calculations were performed using first-principles calculations. The results show that Cu24Sn19In1 is a new IMC, and its structural stability is better than that of Cu6Sn5. Moreover, the anisotropy of Cu24Sn19In1 is stronger than that of Cu6Sn5. Based on first-principles calculations and VRH methods, the bulk modulus, shear modulus, Young’s modulus, and Poisson's ratio of polycrystalline Cu6Sn5 are 78.31 GPa, 39.00 GPa, 100.35 GPa, and 0.2864 GPa, respectively, and 88.08 GPa, 41.42 GPa, 107.43 GPa, and 0.2967 GPa of Cu24Sn19In1, respectively. All elastic moduli of the latter are larger than those of the former. The formation of a Cu24Sn19In1 IMC can improve the mechanical properties of the IMC layer. © 2021, The Minerals, Metals & Materials Society.","First-principles; IMC; In-doping; mechanical properties","Binary alloys; Calculations; Copper alloys; Elastic moduli; Indium alloys; Intermetallics; Stability; Ternary alloys; Effect of In; First-principles calculation; First-principles study; IMC layer; Polycrystalline; Sn-Ag-Cu; Structural stabilities; Tin alloys","Article","Final","","Scopus","2-s2.0-85105519658"
